单字	拆分	编码权重	词库权重
ㄍ	川	-1000	100
ㄎ	一ㄅ	-1000	100
ㄏ	⺁	-1000	100
ㄐ	丩	-1000	100
ㄑ	ㄑ	-1000	100
ㄒ	一丨	-1000	100
ㄓ	屮一	-1000	100
ㄔ	彳	-1000	100
ㄕ	尸	-1000	100
ㄖ	日	-1000	100
ㄗ	卩	-1000	100
ㄘ	一ㄅ	-1000	100
ㄙ	厶	-1000	100
ㄚ	丷丨	-1000	100
ㄛ	一乚	-1000	100
ㄜ	一乚	-1000	100
ㄝ	十乚	-1000	100
ㄞ	一力	-1000	100
ㄟ	乁	-1000	100
ㄠ	幺	-1000	100
ㄡ	又	-1000	100
ㄢ	马	-1000	100
ㄣ	㇞	-1000	100
ㄤ	尢	-1000	100
ㄥ	ㄥ	-1000	100
ㄦ	儿	-1000	100
ㄧ	丨	-1000	100
ㄨ	乂	-1000	100
ㄩ	凵	-1000	100
ㅈ		-1000	100
ㅌ	彐	-1000	100
ㅑ		-1000	100
ㅒ	口	-1000	100
㇀	一	-1000	100
㇁	㇢	-1000	100
㇂	レ	-1000	100
㇃	レ	-1000	100
㇄	乚	-1000	100
㇅	㇅	-1000	100
㇆		-1000	100
㇇	フ	-1000	100
㇈	㇈	-1000	100
㇉	ㄅ	-1000	100
㇊	㇅	-1000	100
㇋	ㄋ	-1000	100
㇌	ㄋ	-1000	100
㇍	㇅	-1000	100
㇎	㇎	-1000	100
㇏	丶	-1000	100
㇐	一	-1000	100
㇑	丨	-1000	100
㇒	丿	-1000	100
㇓	丿	-1000	100
㇔	丶	-1000	100
㇕	ヿ	-1000	100
㇖	乛	-1000	100
㇗	㇗	-1000	100
㇘	丨一	-1000	100
㇙	レ	-1000	100
㇚	丨	-1000	100
㇛	ㄑ	-1000	100
㇜	ㄥ	-1000	100
㇝	丶	-1000	100
㇞	㇞	-1000	100
㇟	乚	-1000	100
㇠	乙	-1000	100
㇡	ㄋ	-1000	100
㇢	㇢	-1000	100
㇣	口	-1000	100
㐀	卝一	1	9000001
㐁	一囗人	1	9000001
㐂	七七七	-1000	100
㐃	厶丨	-1000	100
㐄	㐄	5	9000005
㐅	乂	1	9000001
㐆	身	-1000	100
㐇	九乙	-1000	100
㐈	入乙	-1000	100
㐉	丁乙	-1000	100
㐊	士乙	-1000	100
㐋	土乙	-1000	100
㐌	也	-1000	100
㐍	爫乙	-1000	100
㐎	文乙	-1000	100
㐏	五乙	-1000	100
㐐	女又乙	-1000	100
㐑	夂゛乙	-1000	100
㐒	刀口乙	-1000	100
㐓	可乙	-1000	100
㐔	乙	-1000	100
㐕	由乙	-1000	100
㐖	士口乚	1	9000001
㐗	老乙	-1000	100
㐘	米乙	-1000	100
㐙	豆乙	-1000	100
㐚	五口乙	-1000	100
㐛	亻口乙	-1000	100
㐜	一氺丶九	-1000	100
㐝	扌句乙	-1000	100
㐞	乙	-1000	100
㐟	非乙	-1000	100
㐠	爫子乚乙	-1000	100
㐡	九而大	1	9000001
㐢	氵爫子乙	-1000	100
㐣	广車乙	-1000	100
㐤	九十目	1	9000001
㐥	金且力乙	-1000	100
㐦	一ㄅ丨手乙	-1000	100
㐧	丶才	-1000	100
㐨	予予	-1000	100
㐩	井井	-1000	100
㐪	亠山人	-1000	100
㐫	亠㐅凵	-1000	100
㐬		-1000	100
㐭	㐭	-1000	100
㐮	衣八一	-1000	100
㐯	口香	-1000	100
㐰	亻口	-1000	100
㐱	人彡	-1000	100
㐲	亻大	-1000	100
㐳	亻一儿	-1000	100
㐴	亻夕	-1000	100
㐵	亻一	-1000	100
㐶	亻巳	-1000	100
㐷	亻马	-1000	100
㐸	亻欠	-1000	100
㐹	亻气	-1000	100
㐺	亻亻人	-1000	100
㐻	亻冂人	-1000	100
㐼	亻丿廾	-1000	100
㐽	亻风	-1000	100
㐾	亻二儿	-1000	100
㐿	亻手	-1000	100
㑀	亻大丶	-1000	100
㑁	亻屮凵	-1000	100
㑂	亻一冂人	-1000	100
㑃	亻幺力	-1000	100
㑄	亻母	-1000	100
㑅	亻⺊一	-1000	100
㑆	亻口儿	-1000	100
㑇	亻⺈彐	1	9000001
㑈	亻小	-1000	100
㑉	亻几歹	-1000	100
㑊	亻亠	-1000	100
㑋	亻曲	-1000	100
㑌	亻匚王	-1000	100
㑍	亻耒	-1000	100
㑎	亻巛山	-1000	100
㑏	亻宀寸	-1000	100
㑐	亻⺊一小	-1000	100
㑑	亻自	-1000	100
㑒	亼口人	-1000	100
㑓	亻厶又	-1000	100
㑔	亻页	-1000	100
㑕	亻山夕	-1000	100
㑖	亻亻口丨	-1000	100
㑗	亻身	-1000	100
㑘	亻戈廾	-1000	100
㑙	亻耳㇗	-1000	100
㑚	亻阝	-1000	100
㑛	亻木口	-1000	100
㑜	亻扌斤	-1000	100
㑝	亻王廾	-1000	100
㑞	亻火廾	-1000	100
㑟	亻	-1000	100
㑠	亻〢又土	-1000	100
㑡	亻卩	-1000	100
㑢	亻土厶卩	-1000	100
㑣	亻木木	-1000	100
㑤	亻艹田	-1000	100
㑥	亻日勹	-1000	100
㑦	亻户犬	-1000	100
㑧	亻禾子	-1000	100
㑨	亻口矢	-1000	100
㑩	亻罒夕	1	9000001
㑪	亻斉	-1000	100
㑫	亻亽ヿ心	-1000	100
㑬	亻女十口	-1000	100
㑭	亻田丌	-1000	100
㑮	亻冖車	-1000	100
㑯	亻頁	-1000	100
㑰	亻彑	-1000	100
㑱	亻矛木	-1000	100
㑲	亻十冂	-1000	100
㑳	亻勹勹	1	9000001
㑴	亻彐冖巾又	-1000	100
㑵	亻疒矢	-1000	100
㑶	亻气米	-1000	100
㑷	亻厶⺝匕	-1000	100
㑸	亻十口可	-1000	100
㑹	亼由曰	-1000	100
㑺	亻隹乃	-1000	100
㑻	亻宀心丿山	-1000	100
㑼	亻田夂口	-1000	100
㑽	亻土	-1000	100
㑾	亻言	-1000	100
㑿	亻巛田木	-1000	100
㒀	亻冂十口	-1000	100
㒁	亻囗土	-1000	100
㒂	亻艹耂日	-1000	100
㒃	亻弋二貝	-1000	100
㒄	亻犬灬	-1000	100
㒅	亻衣夕夕	-1000	100
㒆	亻亼口羽	-1000	100
㒇	亻卌一灬	-1000	100
㒈	亻工耳攵	-1000	100
㒉	亻木	-1000	100
㒊	亻刀丶止刀丶止	-1000	100
㒋	亻斤	-1000	100
㒌	亻火火冖几	-1000	100
㒍	亻厶厶厶糸	-1000	100
㒎	亻一大非	-1000	100
㒏	亻宀゛	-1000	100
㒐	亻⺮勹日	-1000	100
㒑	亻匚氵隹	-1000	100
㒒	亻业䒑未	-1000	100
㒓	亻土羊辶	-1000	100
㒔	亻罒勹虫	-1000	100
㒕	亻亠乡隹	-1000	100
㒖	亻艹田⽱	1	9000001
㒗	亻甘冖土	-1000	100
㒘	亻臣又立	-1000	100
㒙	亻糹白巾	-1000	100
㒚	亻爫工彐心	-1000	100
㒛	亻羽隹	-1000	100
㒜	亻一ㄅ丨	-1000	100
㒝	亻艹罒戊丶	-1000	100
㒞	亻山隹	-1000	100
㒟	亻衣馬	-1000	100
㒠	亻歺又韭	-1000	100
㒡	亻爫缶丿糸	-1000	100
㒢	亻龠	-1000	100
㒣	亻广亻隹心	-1000	100
㒤	亻耳耳耳	-1000	100
㒥	亻山丰丰豆	-1000	100
㒦	亻田田田土	-1000	100
㒧	亻亠㐅凵禸隹	-1000	100
㒨	亻囟大巳	-1000	100
㒩	亻彑虫虫	-1000	100
㒪	人臣臣止豕	-1000	100
㒫	儿	1	9000001
㒬	二儿王	-1000	100
㒭	口儿口儿	-1000	100
㒮	二儿豕	-1000	100
㒯	光艹一艹	-1000	100
㒰	入工	-1000	100
㒱	入夕	-1000	100
㒲	入日	-1000	100
㒳	两	-1000	100
㒴	入屮凵	-1000	100
㒵	白八	-1000	100
㒶	八白	-1000	100
㒷	冂人	-1000	100
㒸	丷豕	-1000	100
㒹	十目十目	-1000	100
㒺	冂䒑人㇗	-1000	100
㒻	⺜見	-1000	100
㒼	廿㒳	-1000	100
㒽	⺜丷夫⺋	-1000	100
㒾	⺜方也	-1000	100
㒿	⺜亠㐅凵禸隹	-1000	100
㓀	冖卜	-1000	100
㓁	㓁	-1000	100
㓂	冖二儿女	-1000	100
㓃	冖言丿七	-1000	100
㓄	厶厶厶人彡冖儿	-1000	100
㓅	冫丁	-1000	100
㓆	冫人匕	-1000	100
㓇	冫丿大	-1000	100
㓈	冫石	-1000	100
㓉	冫舌	-1000	100
㓊	冫冂一口	-1000	100
㓋	冫艹	-1000	100
㓌	冫人王	-1000	100
㓍	冫儿	-1000	100
㓎	冫彐冖又	-1000	100
㓏	冫口	-1000	100
㓐	冫土八土	-1000	100
㓑	冫土	-1000	100
㓒	冫七人⺗	-1000	100
㓓	冫十冂	-1000	100
㓔	冫身寸	-1000	100
㓕	冫戊一火	-1000	100
㓖	冫田艹	-1000	100
㓗	冫丰刀糸	-1000	100
㓘	几歹玉	-1000	100
㓙	文凵	-1000	100
㓚	工刂	-1000	100
㓛	工刀	-1000	100
㓜	幺刀	-1000	100
㓝	井刂	-1000	100
㓞	丰刀	-1000	100
㓟	皮刂	-1000	100
㓠	⺊口刂	-1000	100
㓡	缶刂	-1000	100
㓢	夂口刂	-1000	100
㓣	亼口刂	-1000	100
㓤	士口刂	-1000	100
㓥	⺌彐刂	1	9000001
㓦	一白刂	1	9000001
㓧	亽ヿ口刂	-1000	100
㓨	大人人刂	-1000	100
㓩	角刂	-1000	100
㓪	丶刀	-1000	100
㓫	大一廾刂	-1000	100
㓬	丷夫刀刂	-1000	100
㓭	曰勹人㇗刂	-1000	100
㓮	⺆土口刂	-1000	100
㓯	巛田刂	-1000	100
㓰	一田凵刂	-1000	100
㓱	亼⺝刂刂	-1000	100
㓲	户刂	-1000	100
㓳	日疋刂	-1000	100
㓴	而大刂	-1000	100
㓵	口口二ㄅ刂	-1000	100
㓶	丰刀大刂	-1000	100
㓷	自木刂	-1000	100
㓸	刂	-1000	100
㓹	厂火火刂	-1000	100
㓺	虍文刂	-1000	100
㓻	罒一止刂	-1000	100
㓼	木人氺刂	-1000	100
㓽	山宀示刂	-1000	100
㓾	尸氺牛刂	-1000	100
㓿	禾人氺刂	-1000	100
㔀	日小刂	-1000	100
㔁	癶豆刂	-1000	100
㔂	米舛刂	-1000	100
㔃	糹⺈巴刀	-1000	100
㔄	覀米刂	-1000	100
㔅	肀片爿一刂	-1000	100
㔆	旡旡曰刂	-1000	100
㔇	癶弓殳刂	-1000	100
㔈	艹非刂	-1000	100
㔉	尸丿口⽱刂	1	9000001
㔊	㐭日一刂	-1000	100
㔋	臣皿刂	-1000	100
㔌	耳又丿刂	-1000	100
㔍	⺮目廾刂	-1000	100
㔎	辛刀	-1000	100
㔏	石石石刂	-1000	100
㔐	⺮一韭刂	-1000	100
㔑	艹辛刀	-1000	100
㔒	山隹口刂	-1000	100
㔓	千力	-1000	100
㔔	力口〇	-1000	100
㔕	气力	-1000	100
㔖	力口ヿ	-1000	100
㔗	弓力	-1000	100
㔘	屮凵力	-1000	100
㔙	䒑廾力	-1000	100
㔚	舌力	-1000	100
㔛	士口力	-1000	100
㔜	爫子力	-1000	100
㔝	兩力	-1000	100
㔞	千北力	-1000	100
㔟	生丸力	-1000	100
㔠	曰勹人㇗力	-1000	100
㔡	囟匕力	-1000	100
㔢	糹⺈巴力	-1000	100
㔣	田田田力	-1000	100
㔤	宀釆田力	-1000	100
㔥	罒厶⺝匕力	-1000	100
㔦	⺶㇏丶艮力	-1000	100
㔧	虍田皿力	-1000	100
㔨	勹北⺝	-1000	100
㔩	勹土厶皿	1	9000001
㔪	勹鹵	-1000	100
㔫	匕	-1000	100
㔬	匕日十	-1000	100
㔭	日疋	-1000	100
㔮	廿口夫厶⺝匕	-1000	100
㔯	匚几口	-1000	100
㔰	匚夕卜	-1000	100
㔱	匚臼人	-1000	100
㔲	匚飠九	-1000	100
㔳	匚飠几	-1000	100
㔴	匚田艹	-1000	100
㔵	匚巳巳艹	-1000	100
㔶	匚音十夂工貝	-1000	100
㔷	匸一冂人	-1000	100
㔸	匸虎	-1000	100
㔹	十力	-1000	100
㔺	十七十	-1000	100
㔻	不十	-1000	100
㔼	扌隹十	-1000	100
㔽	⺊囗口	-1000	100
㔾	卩	-1000	100
㔿	一丩	-1000	100
㕀	由⺋	-1000	100
㕁	㐅厶卩	-1000	100
㕂	厂亽ヿ	-1000	100
㕃	厂一廾	-1000	100
㕄	厂一幺	-1000	100
㕅	厂甲	-1000	100
㕆	厂十口	-1000	100
㕇	厂立	-1000	100
㕈	厂衣	-1000	100
㕉	厂亼口	-1000	100
㕊	厂甫	-1000	100
㕋	厂金	-1000	100
㕌	厂日一寸	-1000	100
㕍	厂隹	-1000	100
㕎	厂土厶皿	-1000	100
㕏	厂豆斗	-1000	100
㕐	厂臼勹灬	-1000	100
㕑	厂壴寸	1	9000001
㕒	厂丿扌	-1000	100
㕓	厂黑土	-1000	100
㕔	厂耳王十罒一心	-1000	100
㕕	厶厶	-1000	100
㕖	厶厶厶木	-1000	100
㕗	㇏厶	-1000	100
㕘	厶厶厶人小	-1000	100
㕙	厶八夊兔	-1000	100
㕚	丶又丶	-1000	100
㕛	又又	-1000	100
㕜	口丨又	-1000	100
㕝	十口又	-1000	100
㕞	尸巾又	-1000	100
㕟	⺊又	-1000	100
㕠	冫隹又	-1000	100
㕡	谷又	-1000	100
㕢	貝又	-1000	100
㕣	八口	-1000	100
㕤	口九	-1000	100
㕥	口人	-1000	100
㕦	口大	-1000	100
㕧	口尸	-1000	100
㕨	口凡	-1000	100
㕩	口丰	-1000	100
㕪	口冖儿	-1000	100
㕫	口方	-1000	100
㕬	口八厶	-1000	100
㕭	口丿大	-1000	100
㕮	口八乂	-1000	100
㕯	冂人口	-1000	100
㕰	口毛	-1000	100
㕱	口尤	-1000	100
㕲	口木	-1000	100
㕳	口㐅凵	-1000	100
㕴	口冖几	-1000	100
㕵	口王	-1000	100
㕶	口五	-1000	100
㕷	口白	-1000	100
㕸	口立	-1000	100
㕹	口又丶	-1000	100
㕺	口口一ㄅ	-1000	100
㕻	丶不口	-1000	100
㕼	口勹乂㇗	-1000	100
㕽	口人	-1000	100
㕾	小口匕	-1000	100
㕿	禾口	-1000	100
㖀	口聿	-1000	100
㖁	口㐅厶	-1000	100
㖂	口曰㇂丿	-1000	100
㖃	口一口	-1000	100
㖄	口川	-1000	100
㖅	口戊一	-1000	100
㖆	口曲	-1000	100
㖇	口而	-1000	100
㖈	老口	-1000	100
㖉	口人止	-1000	100
㖊	口彐寸	1	9000001
㖋	人口匕	-1000	100
㖌	亻九口匕	-1000	100
㖍	斗口匕	-1000	100
㖎	口匕人	-1000	100
㖏	口日土	-1000	100
㖐	口口丿	-1000	100
㖑	口戈廾	-1000	100
㖒	口丷弓	-1000	100
㖓	口夂丰	-1000	100
㖔	口一大口	-1000	100
㖕	口辛	-1000	100
㖖	辛口	-1000	100
㖗	口山亽ヿ	-1000	100
㖘	口辰	-1000	100
㖙	力口口匕	-1000	100
㖚	亻寸口匕	-1000	100
㖛	十口口匕	-1000	100
㖜	口匕	-1000	100
㖝	未口匕	-1000	100
㖞	口口冂人	1	9000001
㖟	口爫冖又	-1000	100
㖠	口大示	-1000	100
㖡	口亠亻	-1000	100
㖢	口广止匕	-1000	100
㖣	口立口	-1000	100
㖤	口乛氺凵	-1000	100
㖥	口囗禾	-1000	100
㖦	口木日	-1000	100
㖧	口氏日	-1000	100
㖨	口氺	-1000	100
㖩	口耳又	-1000	100
㖪	口戈口一	-1000	100
㖫	口土八夊	-1000	100
㖬	口臼又	-1000	100
㖭	口一大⺗	-1000	100
㖮	口亼	-1000	100
㖯	冂一口口匕	-1000	100
㖰	口匕冂一口	-1000	100
㖱	亠亻口	-1000	100
㖲	女口口匕	-1000	100
㖳	氵女口匕	-1000	100
㖴	口艹勹	-1000	100
㖵	口目	-1000	100
㖶	口覀土	-1000	100
㖷	口日疋	-1000	100
㖸	口虍	-1000	100
㖹	口八刀皿	-1000	100
㖺	口㇏日	-1000	100
㖻	口矛木	-1000	100
㖼	口甘木	-1000	100
