字根	字根码	字根扩展码	Unicode分区	部件映射	电子设备显示兼容	准备弃用	
𢎧	Jg		扩展B区		弓	
	Jg		私用区		弓	
⼸	Jg		康熙部首	弓		
	Jg		私用区		干	
	Jge		私用区		戈	
	Jge		私用区		戈	
戈	Jge		基本区			
矛	Jm		基本区			
斤	Jn		基本区			
	Jn		私用区		斤	
戊	Jp	Jpv	基本区			
钅	Jr		基本区			
𨥀	Jr		扩展B区		金	
	Jr		私用区		金	
釒	Jr		基本区			
金	Jr		基本区			
𨤾	Jr		扩展B区		金	
矢	Jsi		基本区			
⽎	Jx		康熙部首	殳		
殳	Jx	Jxv	基本区			
	Jyi		私用区		弋	
弋	Jyi		基本区			
𢀳	Kb		扩展B区		巴	
巴	Kb		基本区			
虫	Kc	Kcv	基本区			
亀	Kg		基本区			
龜	Kg		兼容区		龜	
⿔	Kg		康熙部首			
龜	Kg		基本区			
𪚴	Kg		扩展B区		龜	
龜	Kg		兼容区			
龟	Kg		基本区			
𪛉	Kg		扩展B区		亀	
𪚦	Kg		扩展B区		龜	
亥	Kh	Khv	基本区			
	Khu		私用区		虎	
	Khu		私用区		虎	
虍	Khu		基本区			
	Khu		私用区		虎	
虎	Khu		基本区			
鳥	Ki		基本区			
鸟	Ki		基本区			
	Ki		私用区		鸟	
	Ki		私用区		鸟	
𫠓	Ki		扩展D区		鳥	
彑	Kji		基本区			
	Kji		私用区		彑	
⼹	Kji		康熙部首			
	Kji		私用区		⼹	
⺔	Kji		部首补充			
⻯	Kl		部首补充			
竜	Kl		基本区			
龍	Kl	Klv	基本区			
龙	Kl		基本区			
鹿	Klu		基本区			
	Klu		私用区		鹿	
	Klu		私用区		鹿	
⿌	Km		康熙部首	黽		
黾	Km	Kmv	基本区			
黽	Km		基本区			
黾	Km		兼容区		黾	
	Kma		私用区		ㄢ	
𫠉	Kma		扩展D区		馬	
𢎘	Kma		扩展B区		ㄢ	
ㄢ	Kma		注音符号			
马	Kma		基本区			
馬	Kma		基本区			
	Kma		私用区		馬	
犭	Kq		基本区			
犬	Kq		基本区			
豕	Ksi		兼容区		豕	
	Ksi		私用区		豕	
⾗	Ksi		康熙部首	豕		
豕	Ksi		基本区			
𧰧	Ksi		扩展B区		豕	
䑕	Ksu		扩展A区			
鼠	Ksu		基本区			
鼡	Ksu		基本区			
	Ksu		私用区		鼠	
	Ksu		私用区		鼠	
兔	Ktu		基本区			
兎	Ktu		基本区			
㲋	Ktu		扩展A区			
	Ktu		私用区		㲋	
兔	Ktu		兼容区			
	Ktu		私用区		兔	
𠂒	Ku		扩展B区	⺧	牛	
	Ku		私用区	⺧	牛	是
⺧	Ku		部首补充		牛	
牜	Ku		基本区			
牛	Ku		基本区			
𩵋	Kv		扩展B区			
魚	Kv		基本区			
鱼	Kv		基本区			
	Kv		私用区		鱼	
烏	Kw		基本区			
乌	Kw		基本区			
𧰼	Kx		扩展B区			
象	Kx		基本区			
	Kx		私用区		象	
	Ky		私用区		⺸	
⺸	Ky		部首补充			
⺶	Ky		部首补充			
⺷	Ky		部首补充			
羊	Ky		基本区			
𦍋	Ky		扩展B区			
芈	Ky		基本区			
𦍍	Ky		扩展B区		⺶	
𦍌	Ky		扩展B区			
	Ky		私用区		⺷	
羋	Ky	Kyv	基本区			
	Ky		私用区		⺷	
	Ky		私用区		⺶	
隹	Kz	Kzv	基本区			
豸	Kzi		基本区			
𡕒	L		扩展B区		㐄	
	L		私用区		㐄	
⼵	L	Lz	康熙部首			
⼡	L		康熙部首	夂		
⼢	L	Lp	康熙部首	夊		
疋	L	Lpi	基本区			
㐄	L		扩展A区			
	L		私用区		疋	
	L		私用区		辵	
癶	L	Lzd	基本区			
	L		私用区		㐄	
	L		私用区		㐄	
夂	L		基本区			
夊	L		基本区			
辵	L		基本区			
辶	L	Ld	基本区			
𫝀	L	Ls	扩展D区		辶	
⻍	L		部首补充			
⻎	L		部首补充			
廴	L		基本区			
ㄆ	L		注音符号			
ヰ	L		日文片假名			
	L		私用区		辵	
禸	La		基本区			
⽱	La		康熙部首			
	Lc		私用区		车	
车	Lc		基本区			
車	Lc		基本区			
彳	Lci		基本区			
亍	Lci	Lcv	基本区			
了	Le		基本区			
𠄏	Le		扩展B区		了	
龰	Lh		基本区补充			
止	Lh		基本区			
	Lh		私用区		龰	
	Lh		私用区		龰	
	Lh		私用区		止	
	Lh		私用区		龰	
之	Li		基本区			
⻊	Lo		部首补充			
足	Lo	Lov	基本区			
	Lo		私用区		⻊	
走	Lt		基本区			
赱	Lt		基本区			
行	Lv		基本区			
舛	Lv	Lvv	基本区			
舟	Lz	Lzv	基本区			
⾈	Lz		康熙部首	舟		
木	Mu		基本区			
𣎳	Mu		扩展B区		木	
朩	Mu		基本区			
未	Mw		基本区			
	Nc		私用区		臣	
	Nc		私用区		臣	
臣	Nc	Ncv	基本区			
	Nc		私用区		臣	
𦣞	Nc		扩展B区		臣	
夫	Nf		基本区			
毌	Ng	Ngv	基本区			
民	Ni		基本区			
	Nm		私用区		母	
母	Nm		基本区			
大	Nr		基本区			
氏	Ns		基本区			
女	Nv		基本区			
毋	Nwu		基本区			
𣫬	Nwu		扩展B区		⽏	
⽏	Nwu		康熙部首			
子	Nz		基本区			
㇣	O		汉字笔画		〇	
	O		私用区		ㅒ	
〇	O	Ol	标点符号			
ㅒ	O		谚文兼容字母			
口	O	Od	基本区			
	P		私用区		丿	
	P		私用区		丿	
𠂑	P		扩展B区		丿	
	P		私用区		丿	
㇒	P		汉字笔画		丿	
𠂎	P		扩展B区		丿	
丿	P	Pie	基本区			
	P		私用区		丿	
𠁽	Pd		扩展B区		凡	
	Pd		私用区		凡	
凡	Pd		基本区			
	Pd		私用区		凡	
	Pd		私用区		凡	
	Pd		私用区		凡	
丸	Pd	Pdv	基本区			
九	Pj		基本区			
勹	Pk		基本区			
句	Po		基本区			
⺇	Pp		部首补充			
𠘧	Pp		扩展B区		几	
几	Pp		基本区			
	Pq		私用区		千	
千	Pq		基本区			
用	Pv		基本区			
	Pv		私用区		用	
𤰃	Pv		扩展B区		用	
	Px		私用区		及	
及	Px		基本区			
	Q		私用区	𠂉	丄	是
𠂉	Q		扩展B区			
丄	Q		基本区			
	Q		私用区		ㅑ	
ㅑ	Q		谚文兼容字母			
	Q		私用区		ㅑ	
	Q		私用区		ㅑ	
𠁡	Qbu		扩展B区		卜	
卜	Qbu		基本区			
⺊	Qbu		部首补充			
	Qbu		私用区		卜	
⼘	Qbu		康熙部首	卜		
	Qbu		私用区		⼘	
鬼	Qg		基本区			
⿁	Qg		康熙部首	鬼		
	Qg		私用区		鬼	
忄	Qi		基本区			
心	Qi		基本区			
𢖩	Qi		扩展B区		心	
⺗	Qi		部首补充			
㣺	Qi		扩展A区			
礻	Qs	Qsi	基本区			
	Qs		私用区		礻	
示	Qs		基本区			
𥘅	Qs		扩展B区			
	Qs		私用区		礻	
⺬	Qs		部首补充			
𠂼	Qv		扩展B区		非	
	Qv		私用区		非	
𩇧	Qv		扩展B区		非	
非	Qv		基本区			
𩇨	Qv		扩展B区		非	
𩇦	Qv		扩展B区		非	
	R		私用区		⺈	
𠂊	R		扩展B区			
⺈	R		部首补充			
	R		私用区		𠂊	
ㄦ	Re		注音符号			
儿	Re	Rer	基本区			
	Re		私用区		儿	
	Re		私用区		儿	
亼	Rj		基本区			
	Rj		私用区		亼	
亽	Rj		基本区			
人	Rn		基本区			
𠆢	Rn		扩展B区			
	Rn		私用区		人	
亻	Rn		基本区			
入	Ru		基本区			
⼊	Ru		康熙部首	入		
ツ	S		日文片假名			
亅	S		基本区			
丨	S		基本区			
⺍	S		部首补充			
ㄧ	S		注音符号			
	Sb		私用区		⼎	
⼎	Sb		康熙部首	冫		
